ID,Branch,Cluster,Competency
CSE001,CSE,Programming,"Python (Advanced & OOPs)"
CSE002,CSE,Programming,"Java (Multithreading & Collections)"
CSE003,CSE,Programming,"C++ (Memory Management & STL)"
CSE004,CSE,Programming,"JavaScript / TypeScript (ES6+)"
CSE005,CSE,Programming,"Go / Rust (Systems Programming)"
CSE006,CSE,DSA,"Arrays & Strings"
CSE007,CSE,DSA,"Linked Lists, Stacks & Queues"
CSE008,CSE,DSA,"Trees & Graphs (BFS, DFS, Dijkstra)"
CSE009,CSE,DSA,"Recursion & Dynamic Programming"
CSE010,CSE,DSA,"Sorting & Searching Algorithms"
CSE011,CSE,DSA,"Bit Manipulation & Greedy Approach"
CSE012,CSE,Database,"SQL (Joins, Indexing, Query Optimization)"
CSE013,CSE,Database,"NoSQL (MongoDB, DynamoDB, Cassandra)"
CSE014,CSE,Database,"Database Normalization & ACID Properties"
CSE015,CSE,Database,"Data Warehousing & ETL Basics"
CSE016,CSE,Database,"Redis / Memcached (Caching Mechanisms)"
CSE017,CSE,Operating Systems,"Process Management & Concurrency"
CSE018,CSE,Operating Systems,"Memory Management & Virtual Memory"
CSE019,CSE,Operating Systems,"File Systems & Storage"
CSE020,CSE,Operating Systems,"Linux/Unix Shell Scripting"
CSE021,CSE,Computer Networks,"TCP/IP & OSI Model Layers"
CSE022,CSE,Computer Networks,"Routing & Switching Protocols"
CSE023,CSE,Computer Networks,"HTTP/HTTPS, DNS & FTP Protocols"
CSE024,CSE,Computer Networks,"Network Security & Firewalls"
CSE025,CSE,Web Development,"Frontend (HTML5, CSS3, React.js / Angular)"
CSE026,CSE,Web Development,"Backend (Node.js / Express, Django, Flask)"
CSE027,CSE,Web Development,"RESTful API Design & Integration"
CSE028,CSE,Web Development,"State Management & Version Control (Git/GitHub)"
CSE029,CSE,Web Development,"GraphQL API Design"
CSE030,CSE,Cloud & DevOps,"AWS / Azure / GCP Core Services"
CSE031,CSE,Cloud & DevOps,"Containerization (Docker & Kubernetes)"
CSE032,CSE,Cloud & DevOps,"CI/CD Pipelines (Jenkins, GitHub Actions)"
CSE033,CSE,Cloud & DevOps,"Infrastructure as Code (Terraform)"
CSE034,CSE,Cloud & DevOps,"Monitoring & Logging (Prometheus, ELK Stack)"
CSE035,CSE,AI/ML,"Supervised & Unsupervised Learning"
CSE036,CSE,AI/ML,"Deep Learning (CNNs, RNNs, LSTMs)"
CSE037,CSE,AI/ML,"Data Preprocessing & Feature Engineering"
CSE038,CSE,AI/ML,"Natural Language Processing (NLP) & LLM Basics"
CSE039,CSE,AI/ML,"Model Evaluation & Hyperparameter Tuning"
CSE040,CSE,System Design,"Low-Level Design (LLD) & Design Patterns"
CSE041,CSE,System Design,"High-Level Design (HLD) & Microservices"
CSE042,CSE,System Design,"Load Balancing & Horizontal Scaling"
CSE043,CSE,System Design,"Message Queues (Apache Kafka, RabbitMQ)"
CSE044,CSE,Data Engineering,"Big Data Frameworks (Hadoop, Apache Spark)"
CSE045,CSE,Data Engineering,"Data Pipelines & Orchestration (Airflow)"
ECE001,ECE,Digital Electronics,"Boolean Algebra & Logic Gate Minimization"
ECE002,ECE,Digital Electronics,"Combinational Circuits (Mux, De-mux, Adders)"
ECE003,ECE,Digital Electronics,"Sequential Circuits (Flip-Flops, Counters)"
ECE004,ECE,Digital Electronics,"Finite State Machines (Mealy & Moore)"
ECE005,ECE,Embedded Systems,"Embedded C / C++ Programming"
ECE006,ECE,Embedded Systems,"Arduino & Raspberry Pi Prototyping"
ECE007,ECE,Embedded Systems,"STM32 & ARM Cortex Microcontrollers"
ECE008,ECE,Embedded Systems,"RTOS (Real-Time Operating Systems) Concepts"
ECE009,ECE,Embedded Systems,"Hardware Protocols (I2C, SPI, UART, CAN bus)"
ECE010,ECE,Embedded Systems,"Device Drivers Development"
ECE011,ECE,Microprocessors,"8085 / 8086 Architecture & Assembly"
ECE012,ECE,Microprocessors,"Interrupt Handling & Memory Interfacing"
ECE013,ECE,Microprocessors,"RISC vs CISC Architectures"
ECE014,ECE,VLSI,"Verilog / VHDL Hardware Description Languages"
ECE015,ECE,VLSI,"CMOS Digital Circuit Design"
ECE016,ECE,VLSI,"ASIC & FPGA Design Flow"
ECE017,ECE,VLSI,"Static Timing Analysis (STA) & Verification"
ECE018,ECE,VLSI,"Physical Design & Layout"
ECE019,ECE,Communication Systems,"Analog Modulation (AM, FM, PM)"
ECE020,ECE,Communication Systems,"Digital Modulation (ASK, FSK, PSK, QAM)"
ECE021,ECE,Communication Systems,"Cellular Networks (4G / 5G / 6G Architectures)"
ECE022,ECE,Communication Systems,"Antenna Theory & RF Engineering"
ECE023,ECE,Signal Processing,"Continuous & Discrete-Time Signals"
ECE024,ECE,Signal Processing,"Fourier, Laplace, and Z-Transforms"
ECE025,ECE,Signal Processing,"Digital Filter Design (FIR & IIR Filters)"
ECE026,ECE,Signal Processing,"MATLAB / Simulink Modeling"
ECE027,ECE,Signal Processing,"Image & Video Processing Basics"
ECE028,ECE,IoT,"Sensors & Actuators Interfacing"
ECE029,ECE,IoT,"Wireless Short-Range Protocols (Bluetooth, Zigbee)"
ECE030,ECE,IoT,"LPWAN Technologies (LoRaWAN, NB-IoT)"
ECE031,ECE,IoT,"Cloud-IoT Integration & MQTT/CoAP Protocols"
ECE032,ECE,Edge AI,"TinyML (Deploying ML models on MCUs)"
ECE033,ECE,Edge AI,"Model Optimization for Hardware (Quantization)"
ECE034,ECE,Robotics & Control,"Control Systems (PID Controllers)"
ECE035,ECE,Robotics & Control,"ROS (Robot Operating System)"
